[2024-10-04T21:43:17.471Z] Event: {addDir}, File: {src\utils}
[2024-10-04T21:43:21.738Z] Event: {add}, File: {src\styles\main.css}
[2024-10-04T21:43:28.879Z] Event: {addDir}, File: {node_modules\yargs-parser\build\lib}
[2024-10-04T21:43:36.007Z] Event: {add}, File: {node_modules\yargs-parser\build\lib\yargs-parser.js}
[2024-10-04T21:43:42.730Z] Event: {add}, File: {node_modules\eslint-plugin-react\node_modules\resolve\test\resolver\multirepo\packages\package-a\package.json}
[2024-10-04T21:43:57.896Z] Event: {change}, File: {node_modules\.cache\default-development\2.pack}
[2024-10-04T21:45:10.394Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T21:45:31.265Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T21:45:56.531Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T21:46:09.821Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T21:46:26.551Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T21:46:41.797Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T21:47:09.420Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T21:47:14.676Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T21:47:30.566Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T21:47:53.612Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T21:48:01.304Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T21:49:01.163Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:49:04.077Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:49:09.544Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:49:29.197Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:49:31.462Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:50:07.725Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:50:08.961Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:50:15.339Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:50:31.036Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:50:54.105Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:50:56.941Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:51:24.542Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:51:38.338Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:51:52.155Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:51:59.372Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:52:06.980Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:52:13.848Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:52:15.223Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:53:15.540Z] Event: {unlink}, File: {node_modules\.cache\default-development\index.pack_}
[2024-10-04T21:53:31.422Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:53:37.521Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:54:21.074Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:55:21.520Z] Event: {unlink}, File: {node_modules\.cache\default-development\4.pack_}
[2024-10-04T21:55:47.546Z] Event: {change}, File: {src\styles\main.css}
